"","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)"
""," 2016"," 2016"," 2016"," 2015"," 2015"," 2015"," 2010"," 2010"," 2010"," 2000"," 2000"," 2000"
"Country"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Guinea-Bissau","7.4","8.9","6.1","7.3","8.8","6","7.9","9.5","6.4","9.2","10.7","7.9"
"Guyana","30.2","46.6","14.2","30.3","46.6","14.3","29.3","44.9","14.1","26.7","41.2","12.8"
"Haiti","12.2","18.3","6.4","12.2","18.5","6.4","10.9","16.5","5.7","10.3","16.3","4.8"
"Honduras","3.4","5.3","1.7","3.3","5.1","1.6","3.1","4.8","1.6","3.3","5.1","1.7"
"Hungary","13.6","22.2","6.2","14.7","24.3","6.6","19.5","33.2","7.8","26.1","43.9","10.6"
"Iceland","13.3","21.7","4.7","12.9","20.9","4.8","12.3","19","5.6","16","25.4","6.4"
"India","16.5","18.5","14.5","16.7","18.8","14.7","17.1","19.1","15.1","18.7","21.3","16.1"
"Indonesia","3.7","5.2","2.2","3.7","5.3","2.2","4","5.6","2.4","4.3","5.9","2.7"
"Iran (Islamic Republic of)","4","4.9","3.1","4","4.9","3","5.9","7.9","3.9","10.7","12.5","8.8"
"Iraq","4.1","4.7","3.4","4.1","4.9","3.4","3.8","4.7","2.9","3.8","5","2.7"
"Ireland","10.9","17.6","4.2","10.8","17.6","4.2","11.3","17.6","5","11.8","19.3","4.4"
"Israel","5.2","8.2","2.4","4.8","7.7","2.1","7.2","12.1","2.5","7.4","12.1","3"
"Italy","5.5","8.4","2.6","5.3","8.2","2.5","5.2","8.3","2.3","5.8","9","2.8"
"Jamaica","2","3.2","0.9","2","3.2","0.9","2","3.2","0.9","2.5","4.2","0.8"
"Japan","14.3","20.5","8.1","15.1","21.6","8.6","19","27.6","10.4","18.8","28","9.9"
